"","YEAR","MONTH","MONTH_NAME","PRDUCT","PRODUCT_NAME","PRICE","IVA_TAX","ACCISA_TAX","NET PRICE","DATE"
"1",1996,1,"Gennaio",1,"Benzina",904.18,144.37,525.77,234.05,1996-01-01
"2",1996,2,"Febbraio",1,"Benzina",907.09,144.83,527.96,234.3,1996-02-01
"3",1996,3,"Marzo",1,"Benzina",917.83,146.54,527.96,243.32,1996-03-01
"4",1996,4,"Aprile",1,"Benzina",931.48,148.72,527.96,254.79,1996-04-01
"5",1996,5,"Maggio",1,"Benzina",929.94,148.48,527.96,253.5,1996-05-01
"6",1996,6,"Giugno",1,"Benzina",924.06,147.54,527.96,248.56,1996-06-01
"7",1996,7,"Luglio",1,"Benzina",924.72,147.65,527.96,249.11,1996-07-01
"8",1996,8,"Agosto",1,"Benzina",926.01,147.85,527.96,250.19,1996-08-01
"9",1996,9,"Settembre",1,"Benzina",926.39,147.91,527.96,250.51,1996-09-01
"10",1996,10,"Ottobre",1,"Benzina",929.26,148.37,527.96,252.92,1996-10-01
"11",1996,11,"Novembre",1,"Benzina",939.44,149.99,527.96,261.48,1996-11-01
"12",1996,12,"Dicembre",1,"Benzina",936.32,149.5,527.96,258.86,1996-12-01
"13",1997,1,"Gennaio",1,"Benzina",938.82,149.9,527.96,260.96,1997-01-01
"14",1997,2,"Febbraio",1,"Benzina",942.26,150.45,527.96,263.85,1997-02-01
"15",1997,3,"Marzo",1,"Benzina",944.48,150.8,527.96,265.72,1997-03-01
"16",1997,4,"Aprile",1,"Benzina",939.78,150.05,527.96,261.77,1997-04-01
"17",1997,5,"Maggio",1,"Benzina",939.35,149.98,527.96,261.41,1997-05-01
"18",1997,6,"Giugno",1,"Benzina",940.8,150.21,527.96,262.62,1997-06-01
"19",1997,7,"Luglio",1,"Benzina",939.19,149.95,527.96,261.27,1997-07-01
"20",1997,8,"Agosto",1,"Benzina",947.07,151.21,527.96,267.89,1997-08-01
"21",1997,9,"Settembre",1,"Benzina",945.2,150.91,527.96,266.33,1997-09-01
"22",1997,10,"Ottobre",1,"Benzina",947.57,156.86,527.96,262.74,1997-10-01
"23",1997,11,"Novembre",1,"Benzina",946.48,157.75,527.96,260.77,1997-11-01
"24",1997,12,"Dicembre",1,"Benzina",935.79,155.96,527.96,251.86,1997-12-01
"25",1998,1,"Gennaio",1,"Benzina",930.69,155.11,527.96,247.61,1998-01-01
"26",1998,2,"Febbraio",1,"Benzina",925.88,154.31,527.96,243.6,1998-02-01
"27",1998,3,"Marzo",1,"Benzina",912.41,152.07,527.96,232.38,1998-03-01
"28",1998,4,"Aprile",1,"Benzina",908.6,151.43,527.96,229.2,1998-04-01
"29",1998,5,"Maggio",1,"Benzina",912.36,152.06,527.96,232.34,1998-05-01
"30",1998,6,"Giugno",1,"Benzina",912.03,152.01,527.96,232.06,1998-06-01
"31",1998,7,"Luglio",1,"Benzina",913.33,152.22,527.96,233.14,1998-07-01
"32",1998,8,"Agosto",1,"Benzina",909.71,151.62,527.96,230.13,1998-08-01
"33",1998,9,"Settembre",1,"Benzina",906.38,151.06,527.96,227.35,1998-09-01
"34",1998,10,"Ottobre",1,"Benzina",904.22,150.7,527.96,225.55,1998-10-01
"35",1998,11,"Novembre",1,"Benzina",897.64,149.61,527.96,220.07,1998-11-01
"36",1998,12,"Dicembre",1,"Benzina",885.21,147.54,527.96,209.71,1998-12-01
"37",1999,1,"Gennaio",1,"Benzina",885.59,147.6,534.23,203.76,1999-01-01
"38",1999,2,"Febbraio",1,"Benzina",893.47,148.91,541.84,202.72,1999-02-01
"39",1999,3,"Marzo",1,"Benzina",905.33,150.89,541.84,212.6,1999-03-01
"40",1999,4,"Aprile",1,"Benzina",934.12,155.69,541.84,236.59,1999-04-01
"41",1999,5,"Maggio",1,"Benzina",949.7,158.28,541.84,249.57,1999-05-01
"42",1999,6,"Giugno",1,"Benzina",949.06,158.18,541.84,249.04,1999-06-01
"43",1999,7,"Luglio",1,"Benzina",969.96,161.66,541.84,266.45,1999-07-01
"44",1999,8,"Agosto",1,"Benzina",982.52,163.75,541.84,276.92,1999-08-01
"45",1999,9,"Settembre",1,"Benzina",995.44,165.91,541.84,287.69,1999-09-01
"46",1999,10,"Ottobre",1,"Benzina",998.54,166.43,541.84,290.28,1999-10-01
"47",1999,11,"Novembre",1,"Benzina",986.35,164.39,528.93,293.02,1999-11-01
"48",1999,12,"Dicembre",1,"Benzina",1010.62,168.44,528.93,313.25,1999-12-01
"49",2000,1,"Gennaio",1,"Benzina",1008.17,168.03,527.4,312.74,2000-01-01
"50",2000,2,"Febbraio",1,"Benzina",1021.43,170.24,526.78,324.41,2000-02-01
"51",2000,3,"Marzo",1,"Benzina",1059.34,176.56,524.28,358.5,2000-03-01
"52",2000,4,"Aprile",1,"Benzina",1046.93,174.49,520.32,352.12,2000-04-01
"53",2000,5,"Maggio",1,"Benzina",1066.23,177.71,520.32,368.2,2000-05-01
"54",2000,6,"Giugno",1,"Benzina",1107.3,184.55,520.32,402.43,2000-06-01
"55",2000,7,"Luglio",1,"Benzina",1118.13,186.35,520.32,411.45,2000-07-01
"56",2000,8,"Agosto",1,"Benzina",1100.1,183.35,520.32,396.43,2000-08-01
"57",2000,9,"Settembre",1,"Benzina",1117.94,186.32,520.32,411.29,2000-09-01
"58",2000,10,"Ottobre",1,"Benzina",1114.66,185.78,520.32,408.56,2000-10-01
"59",2000,11,"Novembre",1,"Benzina",1117.27,186.21,520.32,410.73,2000-11-01
"60",2000,12,"Dicembre",1,"Benzina",1091.29,181.88,520.32,389.09,2000-12-01
"61",2001,1,"Gennaio",1,"Benzina",1046.74,174.46,520.32,351.96,2001-01-01
"62",2001,2,"Febbraio",1,"Benzina",1048.67,174.78,520.32,353.56,2001-02-01
"63",2001,3,"Marzo",1,"Benzina",1051.86,175.31,520.32,356.22,2001-03-01
"64",2001,4,"Aprile",1,"Benzina",1070.51,178.42,520.32,371.77,2001-04-01
"65",2001,5,"Maggio",1,"Benzina",1111.5,185.25,520.32,405.93,2001-05-01
"66",2001,6,"Giugno",1,"Benzina",1110.86,185.14,520.32,405.4,2001-06-01
"67",2001,7,"Luglio",1,"Benzina",1064.2,177.37,520.32,366.51,2001-07-01
"68",2001,8,"Agosto",1,"Benzina",1042.01,173.67,520.32,348.02,2001-08-01
"69",2001,9,"Settembre",1,"Benzina",1050.39,175.06,520.32,355,2001-09-01
"70",2001,10,"Ottobre",1,"Benzina",1026.77,171.13,520.32,335.32,2001-10-01
"71",2001,11,"Novembre",1,"Benzina",1006.37,167.73,538.97,299.67,2001-11-01
"72",2001,12,"Dicembre",1,"Benzina",993.15,165.52,541.84,285.78,2001-12-01
"73",2002,1,"Gennaio",1,"Benzina",992.39,165.4,541.83,285.3,2002-01-01
"74",2002,2,"Febbraio",1,"Benzina",1000.95,166.82,541.84,292.28,2002-02-01
"75",2002,3,"Marzo",1,"Benzina",1023.92,170.65,541.84,311.43,2002-03-01
"76",2002,4,"Aprile",1,"Benzina",1063.36,177.23,541.84,344.29,2002-04-01
"77",2002,5,"Maggio",1,"Benzina",1071.58,178.59,541.84,351.14,2002-05-01
"78",2002,6,"Giugno",1,"Benzina",1061.11,176.85,541.84,342.42,2002-06-01
"79",2002,7,"Luglio",1,"Benzina",1052.43,175.4,541.84,335.18,2002-07-01
"80",2002,8,"Agosto",1,"Benzina",1052.57,175.43,541.84,335.3,2002-08-01
"81",2002,9,"Settembre",1,"Benzina",1061.73,176.95,541.84,342.94,2002-09-01
"82",2002,10,"Ottobre",1,"Benzina",1068.08,178.01,541.84,348.23,2002-10-01
"83",2002,11,"Novembre",1,"Benzina",1052.98,175.5,541.84,335.64,2002-11-01
"84",2002,12,"Dicembre",1,"Benzina",1045.69,174.28,541.84,329.57,2002-12-01
"85",2003,1,"Gennaio",1,"Benzina",1068.53,178.09,541.84,348.6,2003-01-01
"86",2003,2,"Febbraio",1,"Benzina",1087.79,181.3,541.84,364.65,2003-02-01
"87",2003,3,"Marzo",1,"Benzina",1095.02,182.5,541.84,370.68,2003-03-01
"88",2003,4,"Aprile",1,"Benzina",1065.23,177.54,541.84,345.86,2003-04-01
"89",2003,5,"Maggio",1,"Benzina",1039.79,173.3,541.84,324.65,2003-05-01
"90",2003,6,"Giugno",1,"Benzina",1032.03,172,541.84,318.18,2003-06-01
"91",2003,7,"Luglio",1,"Benzina",1045.49,174.25,541.84,329.4,2003-07-01
"92",2003,8,"Agosto",1,"Benzina",1065.9,177.65,541.84,346.41,2003-08-01
"93",2003,9,"Settembre",1,"Benzina",1071.84,178.64,541.84,351.36,2003-09-01
"94",2003,10,"Ottobre",1,"Benzina",1043.94,173.99,541.84,328.11,2003-10-01
"95",2003,11,"Novembre",1,"Benzina",1043.37,173.9,541.84,327.63,2003-11-01
"96",2003,12,"Dicembre",1,"Benzina",1036.82,172.8,541.84,322.18,2003-12-01
"97",2004,1,"Gennaio",1,"Benzina",1047.2,174.53,556.47,316.2,2004-01-01
"98",2004,2,"Febbraio",1,"Benzina",1063.1,177.18,558.64,327.28,2004-02-01
"99",2004,3,"Marzo",1,"Benzina",1082.15,180.36,558.64,343.15,2004-03-01
"100",2004,4,"Aprile",1,"Benzina",1096.99,182.83,558.64,355.52,2004-04-01
"101",2004,5,"Maggio",1,"Benzina",1131.29,188.55,558.64,384.1,2004-05-01
"102",2004,6,"Giugno",1,"Benzina",1148.14,191.35,558.64,398.15,2004-06-01
"103",2004,7,"Luglio",1,"Benzina",1146.85,191.14,558.64,397.07,2004-07-01
"104",2004,8,"Agosto",1,"Benzina",1156.74,192.79,558.64,405.31,2004-08-01
"105",2004,9,"Settembre",1,"Benzina",1155.81,192.64,558.64,404.53,2004-09-01
"106",2004,10,"Ottobre",1,"Benzina",1168.69,194.78,558.64,415.27,2004-10-01
"107",2004,11,"Novembre",1,"Benzina",1168.11,194.69,558.64,414.78,2004-11-01
"108",2004,12,"Dicembre",1,"Benzina",1132.57,188.76,558.64,385.17,2004-12-01
"109",2005,1,"Gennaio",1,"Benzina",1098.07,183.01,558.64,356.41,2005-01-01
"110",2005,2,"Febbraio",1,"Benzina",1135.12,189.18,558.83,387.1,2005-02-01
"111",2005,3,"Marzo",1,"Benzina",1170.15,195.02,564,411.13,2005-03-01
"112",2005,4,"Aprile",1,"Benzina",1219.72,203.29,564,452.43,2005-04-01
"113",2005,5,"Maggio",1,"Benzina",1208.74,201.46,564,443.29,2005-05-01
"114",2005,6,"Giugno",1,"Benzina",1209,201.5,564,443.5,2005-06-01
"115",2005,7,"Luglio",1,"Benzina",1244.86,207.48,564,473.38,2005-07-01
"116",2005,8,"Agosto",1,"Benzina",1255.86,209.31,564,482.55,2005-08-01
"117",2005,9,"Settembre",1,"Benzina",1303.59,217.26,564,522.32,2005-09-01
"118",2005,10,"Ottobre",1,"Benzina",1321.38,220.23,564,537.15,2005-10-01
"119",2005,11,"Novembre",1,"Benzina",1243.77,207.3,564,472.47,2005-11-01
"120",2005,12,"Dicembre",1,"Benzina",1220.03,203.34,564,452.7,2005-12-01
"121",2006,1,"Gennaio",1,"Benzina",1248.31,208.05,564,476.26,2006-01-01
"122",2006,2,"Febbraio",1,"Benzina",1248.77,208.13,564,476.64,2006-02-01
"123",2006,3,"Marzo",1,"Benzina",1253.42,208.91,564,480.51,2006-03-01
"124",2006,4,"Aprile",1,"Benzina",1298.51,216.42,564,518.09,2006-04-01
"125",2006,5,"Maggio",1,"Benzina",1341.37,223.56,564,553.81,2006-05-01
"126",2006,6,"Giugno",1,"Benzina",1336.52,222.75,564,549.77,2006-06-01
"127",2006,7,"Luglio",1,"Benzina",1371.5,228.58,564,578.92,2006-07-01
"128",2006,8,"Agosto",1,"Benzina",1374.96,229.16,564,581.8,2006-08-01
"129",2006,9,"Settembre",1,"Benzina",1269.75,211.62,564,494.13,2006-09-01
"130",2006,10,"Ottobre",1,"Benzina",1222.56,203.76,564,454.8,2006-10-01
"131",2006,11,"Novembre",1,"Benzina",1219.52,203.25,564,452.27,2006-11-01
"132",2006,12,"Dicembre",1,"Benzina",1219.19,203.2,564,451.99,2006-12-01
"133",2007,1,"Gennaio",1,"Benzina",1209.85,201.64,564,444.21,2007-01-01
"134",2007,2,"Febbraio",1,"Benzina",1202.28,200.38,564,437.9,2007-02-01
"135",2007,3,"Marzo",1,"Benzina",1236.25,206.04,564,466.21,2007-03-01
"136",2007,4,"Aprile",1,"Benzina",1267.15,211.19,564,491.96,2007-04-01
"137",2007,5,"Maggio",1,"Benzina",1315.3,219.22,564,532.09,2007-05-01
"138",2007,6,"Giugno",1,"Benzina",1346.24,224.38,564,557.86,2007-06-01
"139",2007,7,"Luglio",1,"Benzina",1354.23,225.71,564,564.52,2007-07-01
"140",2007,8,"Agosto",1,"Benzina",1315.04,219.17,564,531.86,2007-08-01
"141",2007,9,"Settembre",1,"Benzina",1306,217.67,564,524.33,2007-09-01
"142",2007,10,"Ottobre",1,"Benzina",1313.33,218.89,564,530.44,2007-10-01
"143",2007,11,"Novembre",1,"Benzina",1347.84,224.64,564,559.2,2007-11-01
"144",2007,12,"Dicembre",1,"Benzina",1360.84,226.81,564,570.04,2007-12-01
"145",2008,1,"Gennaio",1,"Benzina",1364.44,227.41,564,573.03,2008-01-01
"146",2008,2,"Febbraio",1,"Benzina",1361.6,226.93,564,570.67,2008-02-01
"147",2008,3,"Marzo",1,"Benzina",1386.16,231.03,563.46,591.68,2008-03-01
"148",2008,4,"Aprile",1,"Benzina",1374.79,229.13,547.17,598.48,2008-04-01
"149",2008,5,"Maggio",1,"Benzina",1455.25,242.54,561.83,650.88,2008-05-01
"150",2008,6,"Giugno",1,"Benzina",1512.13,252.02,564,696.11,2008-06-01
"151",2008,7,"Luglio",1,"Benzina",1522.64,253.77,564,704.87,2008-07-01
"152",2008,8,"Agosto",1,"Benzina",1458.25,243.04,564,651.21,2008-08-01
"153",2008,9,"Settembre",1,"Benzina",1435.85,239.31,564,632.54,2008-09-01
"154",2008,10,"Ottobre",1,"Benzina",1346.35,224.39,564,557.96,2008-10-01
"155",2008,11,"Novembre",1,"Benzina",1211.92,201.99,564,445.93,2008-11-01
"156",2008,12,"Dicembre",1,"Benzina",1120.88,186.81,564,370.07,2008-12-01
"157",2009,1,"Gennaio",1,"Benzina",1113.64,185.6,564,364.03,2009-01-01
"158",2009,2,"Febbraio",1,"Benzina",1140.8,190.13,564,386.67,2009-02-01
"159",2009,3,"Marzo",1,"Benzina",1162.61,193.77,564,404.84,2009-03-01
"160",2009,4,"Aprile",1,"Benzina",1185.29,197.55,564,423.74,2009-04-01
